Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2023,106440,123427,158336,115171,77488,59115,35596,35403,,,,
2022,100022,114193,132467,109500,65538,37836,37458,38698,37091,63252,86306,85833
2021,186505,177726,201010,124267,37630,19808,38297,37217,39172,56615,72714,88825
2020,124069,146224,98901,22820,22300,20362,25649,24301,23934,37950,52377,163339
2019,48968,149371,186275,117802,75838,49481,48553,51309,44812,64529,87053,96235
2018,104478,131262,152999,98936,62140,42723,49881,49400,43637,62855,96302,62792
2017,106868,129417,139654,99335,61633,45316,51672,56232,43075,59768,81806,89984
2016,88923,103376,118125,83290,57396,37587,40050,42248,38865,51086,67524,91956
2015,82743,97933,118729,77715,55800,34434,41292,37614,37218,45058,60026,64884
2014,77883,76856,96500,70494,45841,32480,36279,38075,34155,44325,59958,60726
2013,76927,70794,125881,94764,46141,30949,39896,35161,31072,29117,41561,55998
2012,61544,77317,90023,61418,44534,32114,39512,34863,33840,43143,60037,55941
2011,67367,71376,81315,61185,43694,27132,34275,31648,30047,47128,62820,52058
2010,71191,73176,116329,80796,55502,35360,36731,34563,35949,53198,72830,51989
2009,79316,79820,110768,68006,44619,34837,36024,34077,32817,39052,50985,54913
2008,85391,81943,122037,67583,47259,33241,38548,38285,30789,41221,48324,64516
2007,63711,75078,94263,74777,45859,30128,37553,37745,39608,45484,49275,64996
2006,67957,80926,91782,69239,43282,31219,34515,32592,27631,40939,42227,57674
2005,69802,83199,122738,75455,50760,40169,38220,47620,34215,50482,54188,60360
2004,60749,85922,98564,54559,49953,34763,42098,37625,34178,45479,53001,54573
2003,70135,72986,111760,58639,52457,33228,38741,42007,28814,43747,44804,46379
2002,63112,67572,109323,61472,41645,33564,37835,39101,32300,20982,49680,58459
2001,69639,89031,114921,90538,50322,39500,43414,39233,32738,39415,59725,57398
2000,75600,109956,103194,78022,45792,50792,42136,37172,36249,47194,80493,58595
1999,73919,75212,117488,64570,60409,49021,45681,43119,41091,55548,53353,69603
1998,69904,78613,95458,94633,59742,45231,39013,41516,39808,57247,61444,33551
1997,89857,69911,116029,63650,67192,46766,41088,44289,38798,64254,50285,47291
1996,48014,74912,85078,69597,48130,36174,33883,31636,55344,66173,61668,61034
1995,84539,93651,109434,89504,71318,34025,32069,40165,50443,52271,40469,34925
1994,78121,97220,107228,90779,62431,31776,34791,41978,45780,54946,58230,65405
1993,64507,98333,169803,91142,61631,38687,38150,41905,44796,55976,57853,65484
1992,66721,88200,92594,175295,62873,38724,39260,40746,24337,37640,56313,87356
1991,48052,67966,99603,68840,63826,38788,62608,43825,39342,55292,43082,47810
1990,65452,85914,90388,87985,59199,34902,45691,53122,35478,37966,54424,51807
1989,84068,69581,87465,102396,51365,36262,39903,35391,40106,44738,57426,57490
1988,72575,70296,69634,78933,59003,36330,41708,70971,42978,37296,45399,50274
1987,75648,80256,90033,78388,59836,40471,36923,44140,37577,46910,51078,48673
1986,64910,53494,70949,48213,44948,29284,39198,50479,41458,53286,57184,60248
1985,86287,86936,84924,66091,64355,38620,27187,28149,33299,38822,38763,43278
1984,92268,98169,80172,73408,56770,43736,36896,33813,32407,45917,49618,56118
1983,60487,70577,95435,77953,54243,38575,33404,29793,32000,40762,44856,56603
1982,61284,65354,75288,66487,53636,33627,34859,30639,27691,38687,38731,40524
1981,48937,54169,57617,54792,35940,25380,26922,25376,26139,40387,36664,38275
1980,54158,59758,107272,64594,57424,38456,36438,38694,35032,40113,40028,39350
1979,54216,66330,79243,65985,47707,35501,31567,34123,32988,33580,38193,47053
