Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2025,55658,55041,68466,55805,,,,,,,,
2024,49964,62100,80740,47612,36864,16869,13432,14578,19778,24942,39593,46907
2023,52156,63254,81306,61598,34363,22950,16259,16407,17158,32601,44260,61611
2022,52272,61442,71631,57813,31605,19378,18485,18400,17856,31748,44745,43689
2021,134537,129619,154876,81467,8595,68,18905,18193,18610,25575,39276,46938
2020,99608,122133,73000,4194,3765,5369,7469,6501,8199,20373,26960,119144
2019,18858,113151,137858,85635,53333,36785,34185,38492,31937,49026,68603,76344
2018,75324,98775,112885,71791,44620,31374,37213,37512,31490,44199,68491,36819
2017,78313,91118,101468,70996,44131,35386,38410,43107,30929,43392,60810,65191
2016,55041,71924,83154,57417,40133,28530,30687,30092,26637,36296,48097,54596
