Park,Season,Year,SAVImax
SAGW,Apr-Mar,1985,0.1977
SAGW,Apr-Mar,1986,0.1441
SAGW,Apr-Mar,1987,0.1546
SAGW,Apr-Mar,1988,0.1333
SAGW,Apr-Mar,1989,0.1501
SAGW,Apr-Mar,1990,0.1324
SAGW,Apr-Mar,1991,0.1632
SAGW,Apr-Mar,1992,0.1689
SAGW,Apr-Mar,1993,0.1858
SAGW,Apr-Mar,1994,0.1825
SAGW,Apr-Mar,1995,0.1783
SAGW,Apr-Mar,1996,0.1767
SAGW,Apr-Mar,1997,0.1629
SAGW,Apr-Mar,1998,0.1564
SAGW,Apr-Mar,1999,0.1771
SAGW,Apr-Mar,2000,0.1787
SAGW,Apr-Mar,2001,0.1923
SAGW,Apr-Mar,2002,0.1531
SAGW,Apr-Mar,2003,0.1276
SAGW,Apr-Mar,2004,0.1351
SAGW,Apr-Mar,2005,0.1932
SAGW,Apr-Mar,2006,0.1797
SAGW,Apr-Mar,2007,0.2139
SAGW,Apr-Mar,2008,0.1892
SAGW,Apr-Mar,2009,0.171
SAGW,Apr-Mar,2010,0.1704
SAGW,Apr-Mar,2011,0.1669
SAGW,Apr-Mar,2012,0.1652
SAGW,Apr-Mar,2013,0.1622
SAGW,Apr-Mar,2014,0.1576
SAGW,Apr-Mar,2015,0.1935
SAGW,Apr-Mar,2016,0.1739
SAGW,Apr-Mar,2017,0.2
SAGW,Apr-Mar,2018,0.189
SAGW,Apr-Mar,2019,0.197
SAGW,Apr-Mar,2020,0.1885
SAGW,Apr-Mar,2021,0.1506
SAGW,Apr-Mar,2022,0.2716
SAGW,Apr-Mar,2023,0.2277
SAGW,Apr-Mar,2024,0.204
SAGW,Apr-Mar,2025,0.1838
