"Park","occasion","duration","start","end","yr","yr_occ","start_day","end_day"
"CHIR",1,7,2023-05-17,2023-05-23,2023,"2023_1",2694,2700
"CHIR",2,7,2023-05-24,2023-05-30,2023,"2023_2",2701,2707
"CHIR",3,7,2023-05-31,2023-06-06,2023,"2023_3",2708,2714
"CHIR",4,7,2023-06-07,2023-06-13,2023,"2023_4",2715,2721
"CHIR",5,7,2023-06-14,2023-06-20,2023,"2023_5",2722,2728
"CHIR",1,7,2024-05-15,2024-05-21,2024,"2024_1",3058,3064
"CHIR",2,7,2024-05-22,2024-05-28,2024,"2024_2",3065,3071
"CHIR",3,7,2024-05-29,2024-06-04,2024,"2024_3",3072,3078
"CHIR",4,7,2024-06-05,2024-06-11,2024,"2024_4",3079,3085
"CHIR",5,7,2024-06-12,2024-06-18,2024,"2024_5",3086,3092
"CHIR",6,7,2024-06-19,2024-06-25,2024,"2024_6",3093,3099
