"Park","occasion","duration","start","end","yr","yr_occ","start_day","end_day"
"ORPI",1,7,2017-03-22,2017-03-28,2017,"2017_1",447,453
"ORPI",2,7,2017-03-29,2017-04-04,2017,"2017_2",454,460
"ORPI",3,7,2017-04-05,2017-04-11,2017,"2017_3",461,467
"ORPI",4,7,2017-04-12,2017-04-18,2017,"2017_4",468,474
"ORPI",1,7,2018-03-11,2018-03-17,2018,"2018_1",801,807
"ORPI",2,7,2018-03-18,2018-03-24,2018,"2018_2",808,814
"ORPI",3,7,2018-03-25,2018-03-31,2018,"2018_3",815,821
"ORPI",4,7,2018-04-01,2018-04-07,2018,"2018_4",822,828
"ORPI",5,7,2018-04-08,2018-04-14,2018,"2018_5",829,835
"ORPI",6,7,2018-04-15,2018-04-21,2018,"2018_6",836,842
"ORPI",1,7,2020-03-22,2020-03-28,2020,"2020_1",1543,1549
"ORPI",2,7,2020-03-29,2020-04-04,2020,"2020_2",1550,1556
"ORPI",3,7,2020-04-05,2020-04-11,2020,"2020_3",1557,1563
"ORPI",4,7,2020-04-12,2020-04-18,2020,"2020_4",1564,1570
"ORPI",5,7,2020-04-19,2020-04-25,2020,"2020_5",1571,1577
"ORPI",6,7,2020-04-26,2020-05-02,2020,"2020_6",1578,1584
"ORPI",1,7,2021-03-13,2021-03-19,2021,"2021_1",1899,1905
"ORPI",2,7,2021-03-20,2021-03-26,2021,"2021_2",1906,1912
"ORPI",3,7,2021-03-27,2021-04-02,2021,"2021_3",1913,1919
"ORPI",4,7,2021-04-03,2021-04-09,2021,"2021_4",1920,1926
"ORPI",5,7,2021-04-10,2021-04-16,2021,"2021_5",1927,1933
"ORPI",6,7,2021-04-17,2021-04-23,2021,"2021_6",1934,1940
"ORPI",1,7,2022-03-14,2022-03-20,2022,"2022_1",2265,2271
"ORPI",2,7,2022-03-21,2022-03-27,2022,"2022_2",2272,2278
"ORPI",3,7,2022-03-28,2022-04-03,2022,"2022_3",2279,2285
"ORPI",4,7,2022-04-04,2022-04-10,2022,"2022_4",2286,2292
"ORPI",5,7,2022-04-11,2022-04-17,2022,"2022_5",2293,2299
