"Park","occasion","duration","start","end","yr","yr_occ","start_day","end_day"
"CHIR",1,7,2017-09-13,2017-09-19,2017,"2017_1",622,628
"CHIR",2,7,2017-09-20,2017-09-26,2017,"2017_2",629,635
"CHIR",3,7,2017-09-27,2017-10-03,2017,"2017_3",636,642
"CHIR",4,7,2017-10-04,2017-10-10,2017,"2017_4",643,649
"CHIR",5,7,2017-10-11,2017-10-17,2017,"2017_5",650,656
"CHIR",6,7,2017-10-18,2017-10-24,2017,"2017_6",657,663
"CHIR",1,7,2018-09-22,2018-09-28,2018,"2018_1",996,1002
"CHIR",2,7,2018-09-29,2018-10-05,2018,"2018_2",1003,1009
"CHIR",3,7,2018-10-06,2018-10-12,2018,"2018_3",1010,1016
"CHIR",4,7,2018-10-13,2018-10-19,2018,"2018_4",1017,1023
"CHIR",5,7,2018-10-20,2018-10-26,2018,"2018_5",1024,1030
"CHIR",6,7,2018-10-27,2018-11-02,2018,"2018_6",1031,1037
"CHIR",1,7,2019-06-21,2019-06-27,2019,"2019_1",1268,1274
"CHIR",2,7,2019-06-28,2019-07-04,2019,"2019_2",1275,1281
"CHIR",3,7,2019-07-05,2019-07-11,2019,"2019_3",1282,1288
"CHIR",4,7,2019-07-12,2019-07-18,2019,"2019_4",1289,1295
"CHIR",5,7,2019-07-19,2019-07-25,2019,"2019_5",1296,1302
"CHIR",6,7,2019-07-26,2019-08-01,2019,"2019_6",1303,1309
"CHIR",1,7,2021-05-18,2021-05-24,2021,"2021_1",1965,1971
"CHIR",2,7,2021-05-25,2021-05-31,2021,"2021_2",1972,1978
"CHIR",3,7,2021-06-01,2021-06-07,2021,"2021_3",1979,1985
"CHIR",4,7,2021-06-08,2021-06-14,2021,"2021_4",1986,1992
"CHIR",5,7,2021-06-15,2021-06-21,2021,"2021_5",1993,1999
"CHIR",6,7,2021-06-22,2021-06-28,2021,"2021_6",2000,2006
"CHIR",1,7,2022-05-18,2022-05-24,2022,"2022_1",2330,2336
"CHIR",2,7,2022-05-25,2022-05-31,2022,"2022_2",2337,2343
"CHIR",3,7,2022-06-01,2022-06-07,2022,"2022_3",2344,2350
"CHIR",4,7,2022-06-08,2022-06-14,2022,"2022_4",2351,2357
"CHIR",5,7,2022-06-15,2022-06-21,2022,"2022_5",2358,2364
"ORPI",1,7,2016-04-27,2016-05-03,2016,"2016_1",118,124
"ORPI",2,7,2016-05-04,2016-05-10,2016,"2016_2",125,131
"ORPI",3,7,2016-05-11,2016-05-17,2016,"2016_3",132,138
"ORPI",4,7,2016-05-18,2016-05-24,2016,"2016_4",139,145
"ORPI",5,7,2016-05-25,2016-05-31,2016,"2016_5",146,152
"ORPI",6,7,2016-06-01,2016-06-07,2016,"2016_6",153,159
"ORPI",1,7,2017-03-22,2017-03-28,2017,"2017_1",447,453
"ORPI",2,7,2017-03-29,2017-04-04,2017,"2017_2",454,460
"ORPI",3,7,2017-04-05,2017-04-11,2017,"2017_3",461,467
"ORPI",4,7,2017-04-12,2017-04-18,2017,"2017_4",468,474
"ORPI",1,7,2018-03-11,2018-03-17,2018,"2018_1",801,807
"ORPI",2,7,2018-03-18,2018-03-24,2018,"2018_2",808,814
"ORPI",3,7,2018-03-25,2018-03-31,2018,"2018_3",815,821
"ORPI",4,7,2018-04-01,2018-04-07,2018,"2018_4",822,828
"ORPI",5,7,2018-04-08,2018-04-14,2018,"2018_5",829,835
"ORPI",6,7,2018-04-15,2018-04-21,2018,"2018_6",836,842
"ORPI",1,7,2020-03-22,2020-03-28,2020,"2020_1",1543,1549
"ORPI",2,7,2020-03-29,2020-04-04,2020,"2020_2",1550,1556
"ORPI",3,7,2020-04-05,2020-04-11,2020,"2020_3",1557,1563
"ORPI",4,7,2020-04-12,2020-04-18,2020,"2020_4",1564,1570
"ORPI",5,7,2020-04-19,2020-04-25,2020,"2020_5",1571,1577
"ORPI",6,7,2020-04-26,2020-05-02,2020,"2020_6",1578,1584
"ORPI",1,7,2021-03-13,2021-03-19,2021,"2021_1",1899,1905
"ORPI",2,7,2021-03-20,2021-03-26,2021,"2021_2",1906,1912
"ORPI",3,7,2021-03-27,2021-04-02,2021,"2021_3",1913,1919
"ORPI",4,7,2021-04-03,2021-04-09,2021,"2021_4",1920,1926
"ORPI",5,7,2021-04-10,2021-04-16,2021,"2021_5",1927,1933
"ORPI",6,7,2021-04-17,2021-04-23,2021,"2021_6",1934,1940
"ORPI",1,7,2022-03-14,2022-03-20,2022,"2022_1",2265,2271
"ORPI",2,7,2022-03-21,2022-03-27,2022,"2022_2",2272,2278
"ORPI",3,7,2022-03-28,2022-04-03,2022,"2022_3",2279,2285
"ORPI",4,7,2022-04-04,2022-04-10,2022,"2022_4",2286,2292
"ORPI",5,7,2022-04-11,2022-04-17,2022,"2022_5",2293,2299
