"Park","spp","nobs","ndetects","propdetect","first_yr","last_yr"
"CHIR","ODVI",205,81,0.4,2023,2023
"CHIR","URCI",205,32,0.16,2023,2023
"CHIR","UNSY",205,18,0.09,2023,2023
"CHIR","LYRU",205,14,0.07,2023,2023
"CHIR","NANA",205,8,0.04,2023,2023
"CHIR","OTVA",205,9,0.04,2023,2023
"CHIR","URAM",205,8,0.04,2023,2023
"CHIR","PUCO",205,4,0.02,2023,2023
"CHIR","TADO",205,5,0.02,2023,2023
"CHIR","BAAS",205,3,0.01,2023,2023
"CHIR","CALA",205,2,0.01,2023,2023
"CHIR","MEMA",205,2,0.01,2023,2023
"CHIR","MEME",205,2,0.01,2023,2023
"CHIR","SPGR",205,3,0.01,2023,2023
"CHIR","UNSK",205,3,0.01,2023,2023
"CHIR","COLE",205,1,0,2023,2023
