"Park","spp","nobs","ndetects","propdetect","first_yr","last_yr"
"ORPI","LECA",1624,258,0.16,2017,2022
"ORPI","UNLE",1624,227,0.14,2017,2022
"ORPI","CALA",1624,118,0.07,2017,2022
"ORPI","ODHE",1624,99,0.06,2017,2022
"ORPI","SYAU",1624,79,0.05,2017,2022
"ORPI","URCI",1624,89,0.05,2017,2022
"ORPI","FOX",1624,46,0.03,2017,2022
"ORPI","VUMA",1624,52,0.03,2017,2022
"ORPI","LYRU",1624,34,0.02,2017,2022
"ORPI","PETA",1624,33,0.02,2017,2022
"ORPI","ANAMSO",1624,15,0.01,2017,2022
"ORPI","LEAL",1624,16,0.01,2017,2022
"ORPI","TATA",1624,15,0.01,2017,2022
"ORPI","UNCA",1624,20,0.01,2017,2022
"ORPI","UNOD",1624,10,0.01,2017,2022
"ORPI","MEME",1624,1,0,2017,2022
"ORPI","ODVI",1624,6,0,2017,2022
"ORPI","OVCA",1624,5,0,2017,2022
"ORPI","PUCO",1624,1,0,2017,2022
"ORPI","SPGR",1624,3,0,2017,2022
"ORPI","SPVA",1624,6,0,2017,2022
