"Park","spp","nobs","ndetects","propdetect","first_yr","last_yr"
"SAGW","SYAU",2767,697,0.25,2017,2026
"SAGW","LECA",2767,626,0.23,2017,2026
"SAGW","ODHE",2767,605,0.22,2017,2026
"SAGW","CALA",2767,579,0.21,2017,2026
"SAGW","PETA",2767,585,0.21,2017,2026
"SAGW","URCI",2767,509,0.18,2017,2026
"SAGW","UNLE",2767,278,0.1,2017,2026
"SAGW","LYRU",2767,185,0.07,2017,2026
"SAGW","BAAS",2767,17,0.01,2017,2026
"SAGW","PUCO",2767,16,0.01,2017,2026
"SAGW","TATA",2767,31,0.01,2017,2026
"SAGW","UNOD",2767,37,0.01,2017,2026
"SAGW","UNSY",2767,20,0.01,2017,2026
"SAGW","CALUFA",2767,8,0,2017,2026
"SAGW","COLE",2767,8,0,2017,2026
"SAGW","EQFE",2767,1,0,2017,2026
"SAGW","FECA",2767,1,0,2017,2026
"SAGW","MEMA",2767,13,0,2017,2026
"SAGW","PRLO",2767,1,0,2017,2026
"SAGW","SPGR",2767,4,0,2017,2026
"SAGW","UNCA",2767,13,0,2017,2026
"SAGW","UNFO",2767,3,0,2017,2026
"SAGW","UNSK",2767,2,0,2017,2026
