"Park","yr","spp","nobs","ndetects","propdetect"
"CHIR",2023,"BAAS",205,3,0.01
"CHIR",2023,"CALA",205,2,0.01
"CHIR",2023,"COLE",205,1,0
"CHIR",2023,"LYRU",205,14,0.07
"CHIR",2023,"MEMA",205,2,0.01
"CHIR",2023,"MEME",205,2,0.01
"CHIR",2023,"NANA",205,8,0.04
"CHIR",2023,"ODVI",205,81,0.4
"CHIR",2023,"OTVA",205,9,0.04
"CHIR",2023,"PUCO",205,4,0.02
"CHIR",2023,"SPGR",205,3,0.01
"CHIR",2023,"TADO",205,5,0.02
"CHIR",2023,"UNSK",205,3,0.01
"CHIR",2023,"UNSY",205,18,0.09
"CHIR",2023,"URAM",205,8,0.04
"CHIR",2023,"URCI",205,32,0.16
