"Park","yr","spp","nobs","ndetects","propdetect"
"ORPI",2016,"ANAMSO",124,1,0.01
"ORPI",2016,"BAAS",124,0,0
"ORPI",2016,"CALA",124,12,0.1
"ORPI",2016,"DIDE",124,0,0
"ORPI",2016,"EQAS",124,0,0
"ORPI",2016,"LEAL",124,3,0.02
"ORPI",2016,"LECA",124,26,0.21
"ORPI",2016,"LYRU",124,2,0.02
"ORPI",2016,"MEMA",124,0,0
"ORPI",2016,"ODHE",124,5,0.04
"ORPI",2016,"ODVI",124,0,0
"ORPI",2016,"OVCA",124,0,0
"ORPI",2016,"PETA",124,2,0.02
"ORPI",2016,"PUCO",124,0,0
"ORPI",2016,"SPGR",124,0,0
"ORPI",2016,"SYAU",124,15,0.12
"ORPI",2016,"TATA",124,3,0.02
"ORPI",2016,"UNCA",124,0,0
"ORPI",2016,"UNFO",124,1,0.01
"ORPI",2016,"UNLE",124,0,0
"ORPI",2016,"UNOD",124,0,0
"ORPI",2016,"UNSK",124,0,0
"ORPI",2016,"URCI",124,6,0.05
"ORPI",2016,"VUMA",124,8,0.06
"ORPI",2017,"ANAMSO",111,2,0.02
"ORPI",2017,"BAAS",111,0,0
"ORPI",2017,"CALA",111,6,0.05
"ORPI",2017,"DIDE",111,0,0
"ORPI",2017,"EQAS",111,0,0
"ORPI",2017,"LEAL",111,1,0.01
"ORPI",2017,"LECA",111,29,0.26
"ORPI",2017,"LYRU",111,1,0.01
"ORPI",2017,"MEMA",111,0,0
"ORPI",2017,"ODHE",111,8,0.07
"ORPI",2017,"ODVI",111,0,0
"ORPI",2017,"OVCA",111,0,0
"ORPI",2017,"PETA",111,1,0.01
"ORPI",2017,"PUCO",111,0,0
"ORPI",2017,"SPGR",111,0,0
"ORPI",2017,"SYAU",111,9,0.08
"ORPI",2017,"TATA",111,3,0.03
"ORPI",2017,"UNCA",111,0,0
"ORPI",2017,"UNFO",111,1,0.01
"ORPI",2017,"UNLE",111,10,0.09
"ORPI",2017,"UNOD",111,0,0
"ORPI",2017,"UNSK",111,1,0.01
"ORPI",2017,"URCI",111,6,0.05
"ORPI",2017,"VUMA",111,11,0.1
"ORPI",2018,"ANAMSO",336,0,0
"ORPI",2018,"BAAS",336,0,0
"ORPI",2018,"CALA",336,15,0.04
"ORPI",2018,"DIDE",336,0,0
"ORPI",2018,"EQAS",336,0,0
"ORPI",2018,"LEAL",336,0,0
"ORPI",2018,"LECA",336,37,0.11
"ORPI",2018,"LYRU",336,4,0.01
"ORPI",2018,"MEMA",336,0,0
"ORPI",2018,"ODHE",336,23,0.07
"ORPI",2018,"ODVI",336,1,0
"ORPI",2018,"OVCA",336,1,0
"ORPI",2018,"PETA",336,5,0.01
"ORPI",2018,"PUCO",336,0,0
"ORPI",2018,"SPGR",336,1,0
"ORPI",2018,"SYAU",336,11,0.03
"ORPI",2018,"TATA",336,0,0
"ORPI",2018,"UNCA",336,2,0.01
"ORPI",2018,"UNFO",336,3,0.01
"ORPI",2018,"UNLE",336,10,0.03
"ORPI",2018,"UNOD",336,1,0
"ORPI",2018,"UNSK",336,0,0
